title_id,title,genre,authors,weekdays,length,subscribers,rating,views,likes,status,daily_pass,synopsis
2764,Fast Forward,THRILLER,"PORTO,Junki Hong",WEDNESDAY,44,195161,9.68,4178670,679467,ONGOING,False,"The final goal is to be the master of time. But in order to become the master, you must kill and steal. The universe has given powers to a select number of people. The only problem is, you can get your powers taken away... along with your life. The keepers of time will need to protect their powers or pay the ultimate price."
2759,Homesick,THRILLER,Ms. Freaky,TUESDAY,36,789566,9.79,33548301,2723301,HIATUS,False,"Rayne woke up with no memories of the apocalypse. Samael is just... a delinquent, who happened to find Rayne at a rooftop. They both ended up making a deal in order to survive in a world where cannibalistic monsters roam."
2756,Finding Fiends,COMEDY,LizardxLizard,"MONDAY,THURSDAY",17,93592,9.76,1370060,207795,ONGOING,False,"Finn wants nothing more than for his BooTube Series 'Finding Fiends' to reach the masses. And a “fiend"" he finds when he hits Dave with his car. Now with amnesia, Dave is convinced to join Finn’s crew in finding the paranormal. Hunting ghouls and cryptids should be easy for this dynamic duo: Finn being a cryptid expert and Dave being...the Mothman!"
2750,Of Dark Lords and Cabbages,ROMANCE,Liyanya,WEDNESDAY,18,352557,9.25,8320703,795319,ONGOING,False,"All Gendry wants is to become Dark King and reclaim the Dark Throne, but as a ward of the Light Kingdom, most people hate his guts and wish to stop him. Except of course, Seyren... Dragon Hero, Protector of the Innocent, and Gendry's incredibly love-struck secret boyfriend."
2746,Religiously Gay,ROMANCE,Snotprince,SUNDAY,6,76493,5.19,476573,49534,ONGOING,False,"A recent surge of human deaths have drawn the attention of Hell's nastiest demons, and it's up to the human loving angel, Michael, to save their souls! But Michael is in for a rude awakening -literally- when he realizes humans may not be as perfect as he once thought. By living alongside the very creatures he's sworn to protect, growing closer to the church volunteer Daniel, and succumbing to a mortal's most vulnerable emotion... can he save all of humanity?"
2745,Hero Killer,ACTION,"Kkulbeol,Beolkkul",TUESDAY,44,569866,9.75,16649828,2048744,ONGOING,False,"The world is in constant turmoil, with constant wars breaking out between Heroes and Villains. Gifted with supernatural abilities, one lone girl sets out on a bloody path for revenge against the injustices of the world she lives in. With the constant clashes between titans, no one is safe. If no one is willing to protect the innocent, who are the real heroes, and who are the real villains? What truly separates one from the other?"
2741,Match Made in Hell,ROMANCE,keitalia,TUESDAY,27,191486,9.47,3724515,459372,ONGOING,False,"When tough girl Kylie’s former friend Tristan asks her to the Valentine’s Dance, she knows he must be up to no good. 
But nothing could prepare her for a figure from the past to return and disrupt the two feuding frenemies. With college prep, school cliques, and a disastrous dance ahead, will sparks fly in their senior year or will they stay a match made in hell? 

"
2739,So I Married the Anti-Fan,ROMANCE,"Jaerim,Eunjeong Kim",FRIDAY,45,579719,9.44,15738876,1645009,ONGOING,False,"How far would you go to take down the person you hate most? With no house, no job, and nothing left to lose, Geunyeong Lee is willing to risk it all to bring down the country’s national treasure, Korean superstar Who Joon. But once the two really get to know each other, bringing him down suddenly becomes a lot harder. Will she be able to ruin him once and for all after she learns the truth about the man behind the popstar?"
2738,See No Evil,THRILLER,"Gwangtanto,Maduru",FRIDAY,44,144634,9.54,2662546,375728,ONGOING,False,"Bonggang Choi has a secret. He lives a quiet life as an ordinary college student, but he was born with a special ability -- he can read minds. Preferring to keep to himself, he doesn't act on the things he learns while mind reading. But when he reads the mind of Hun Jo, another student at his school, and finds out that he may have killed someone, Bonggang soon discovers that he can’t close his eyes to evil forever.
"
2737,Happily Ever Afterwards,FANTASY,"Hwang DoTol,Jeongseo",THURSDAY,44,435042,9.75,15520792,2127087,ONGOING,False,"What would you do if you were reborn as a character from your favorite romance novel? For Peony, an avid fan of “The Song of Askar,” the answer is simple: Marry her favorite character, of course! Reincarnated as the princess of the Kingdom of Garten, Peony is determined to marry Richt, the second male lead of “The Song of Askar” and former prince of the Fairspren Empire, who was banished to an inhospitable land after the novel’s happy ending (which didn’t end so well for him). Amidst trials and tribulations, can Peony and Richt make the most of their second chance at life and love?"
